1.000 1.000 1.000 1.000 1.000
1.000 1.000 1.000 1.000 1.000
1.000 1.000 1.000 1.000 1.000
1.000 1.000 1.000 1.000 1.000
1.000 1.000 1.000 1.000 1.000
1.000 1.000 1.000 1.000 0.000
1.000 1.000 1.000 1.000 1.000
1.000 1.000 1.000 0.815 0.630
0.968 0.968 0.968 0.935 0.935
1.000 1.000 1.000 1.000 1.000
1.000 1.000 1.000 1.000 1.000
1.000 1.000 1.000 1.000 1.000
1.000 1.000 1.000 1.000 1.000
1.000 1.000 1.000 1.000 1.000
0.971 0.971 0.971 0.971 0.971
0.000 0.000 0.000 0.000 0.000
0.217 0.087 0.087 0.087 0.087
0.333 0.333 0.296 0.259 0.259
0.000 0.000 0.000 0.000 0.000
0.000 0.000 0.000 0.000 0.000
