1.00000 1.000 1.000 1.000 1.000
1.00000 1.000 1.000 1.000 1.000
1.00000 1.000 1.000 1.000 1.000
1.00000 1.000 1.000 1.000 1.000
1.00000 1.000 1.000 1.000 1.000
1.00000 1.000 1.000 1.000 0.000
1.00000 1.000 1.000 1.000 1.000
1.00000 1.000 1.000 0.994 0.977
0.99910 0.999 0.999 0.999 0.999
1.00000 1.000 1.000 1.000 1.000
1.00000 1.000 1.000 1.000 1.000
1.00000 1.000 1.000 1.000 1.000
1.00000 1.000 1.000 1.000 1.000
1.00000 1.000 1.000 1.000 1.000
0.99643 0.996 0.996 0.996 0.996
0.00725 0.000 0.000 0.000 0.000
0.78804 0.755 0.728 0.717 0.696
0.83333 0.827 0.821 0.790 0.784
0.37500 0.359 0.348 0.332 0.315
0.15761 0.141 0.130 0.125 0.114
